Genre,Color
Deep Southern Soul,#9932CC
Deep Space Rock,#FF4500
Deep String Quartet,#D85826
Deep Sunset Lounge,#D8B226
Deep Surf Music,#2FD826
Deep Symphonic Black Metal,#555555
Deep Talent Show,#D82697
Deep Tech House,#FFA07A
Deep Thrash Metal,#555555
Deep Trap,#C3D826
Deep Turkish Pop,#FFC300
Deep Uplifting Trance,#20B2AA
Deep Vocal House,#FFA07A
Deep Vocal Jazz,#8A2BE2
Delta Blues,#1E90FF
Demoscene,#D85226
Denver Indie,#FF69B4
Depressive Black Metal,#555555
Desert Blues,#1E90FF
Desi,#2661D8
Destroy Techno,#00FFFF
Detroit Hip Hop,#9400D3
Detroit Techno,#00FFFF
Didgeridoo,#D8C326
Digital Hardcore,#26C3D8
Dirty South Rap,#26D8D8
Dirty Texas Rap,#9D26D8
Disco,#D8268B
Disco House,#FFA07A
Discofox,#6DD826
Dixieland,#D82641
Djent,#2FD826
Dominican Pop,#FFC300
Doo-wop,#D8A326
Doom Metal,#555555
Doomcore,#D84126
Doujin,#26D82C
Downtempo,#D826CC
Downtempo Fusion,#267FD8
Downtempo Trip Hop,#D8B826
Drama,#D83526
Dream Pop,#FFC300
Dreamo,#61D826
Drill And Bass,#26D8B8
Drone,#7926D8
Drone Folk,#DAA520
Drone Metal,#555555
Drone Psych,#D86126
Drum And Bass,#CF26D8
Drumfunk,#8B4513
Dub,#D8266A
Dub Techno,#00FFFF
Dubstep,#D84426
Dubstep Product,#26D885
Dubsteppe,#26D8C0
Duranguense,#D8269D
Dutch Hip Hop,#9400D3
Dutch House,#FFA07A
Dutch Pop,#FFC300
Dutch Rock,#FF4500
E6fi,#6AD826
Early Music,#26D8D8
Early Music Ensemble,#7FD826
East Coast Hip Hop,#9400D3
Easy Listening,#26D873
Ebm,#2694D8
Ectofolk,#DAA520
Ecuadoria,#D86426
Edm,#26D852
Electric Blues,#1E90FF
Electro,#CC26D8
Electro Dub,#CC26D8
Electro House,#FFA07A
Electro Jazz,#8A2BE2
Electro Latino,#FF6347
Electro Swing,#D826B2
Electro Trash,#266DD8
Electro-industrial,#266DD8
Electroacoustic Improvisation,#26D8AF
Electroclash,#97D826
Electrofox,#26D8C3
Electronic,#00FF00
Electronica,#00FF00
Electronicore,#00FF00
Electropowerpop,#FFC300
Electropunk,#FF0000
Emo,#D82679
